item,text,cond
0,pain du je veux,scrambled
1,il te dit cela,normal
2,te doit elle voir,scrambled
3,peu un de vin,scrambled
4,bleu toît est le,scrambled
5,fer une en clef,scrambled
6,ton abri est beau,normal
7,tout abus sera puni,normal
8,ce quoi soit que,scrambled
9,il vend du miel,normal
10,le loft est sale,normal
11,en rame bois la,scrambled
12,chez nous dort il,scrambled
13,skie je seul tout,scrambled
14,boit du elle jus,scrambled
15,joli son gris chat,scrambled
16,la rage en toi,normal
17,jupe sa en soie,scrambled
18,il perd du sang,normal
19,un jeu pour toi,normal
20,si veux je sauf,scrambled
21,il scie du bois,normal
22,sens tu bon très,scrambled
23,est pull ce bleu,scrambled
24,elle sort du tram,normal
25,ma je vis vie,scrambled
26,en face de toi,normal
27,une voix en or,normal
28,bel un vole ange,scrambled
29,il vise le mur,normal
30,une arme en fer,normal
31,de la baie goji,scrambled
32,avez bien vous joué,scrambled
33,de une page plus,scrambled
34,fais une tu bise,scrambled
35,il part au bloc,normal
36,un beau bébé brun,normal
37,il sert son amie,normal
38,mère ta te vois,scrambled
39,je bois un soda,normal
40,est il neuf tout,scrambled
41,tu es bien sage,normal
42,dame âgée est la,scrambled
43,je note la date,normal
44,fait ici beau il,scrambled
45,il perd une dent,normal
46,fait diva sa elle,scrambled
47,ce fil est fin,normal
48,un été avec toi,normal
49,le film est long,normal
50,est rose robe ta,scrambled
51,ton drap est plié,normal
52,père ton là est,scrambled
53,faut chic être il,scrambled
54,gant ce est laid,scrambled
55,va il au gala,scrambled
56,la gare est là,normal
57,le gain du loto,normal
58,le kiwi est vert,normal
59,le rôti est cuit,normal
60,lac gelé le est,scrambled
61,gens les sont fous,scrambled
62,bon gras du foie,scrambled
63,rase il les murs,scrambled
64,grue te la gêne,scrambled
65,saut du de haie,scrambled
66,ce loup aura soif,normal
67,du peur la vide,scrambled
68,je pars en juin,normal
69,vous êtes très poli,normal
70,tu fais du judo,normal
71,mon oral est prêt,normal
72,plat bon ce est,scrambled
73,cher est menu le,scrambled
74,kilo de un maïs,scrambled
75,leur plan est bien,normal
76,ce lien est fort,normal
77,un lion en cage,normal
78,bel ara le vole,scrambled
79,ami vexe se ton,scrambled
80,quel long vers noir,normal
81,un coup de cric,normal
82,beau drap ce rose,scrambled
83,dure il ce film,scrambled
84,erre tout seul il,scrambled
85,le paon est vert,normal
86,un faon sera tué,normal
87,une pie vole haut,normal
88,leur rat crie fort,normal
89,jeu ce nul est,scrambled
90,aime son elle père,scrambled
91,ce film muet fini,normal
92,la fine tige gèle,normal
93,avec mes deux amis,normal
94,prit elle un flan,scrambled
95,prix le salé est,scrambled
96,foie est ton gris,scrambled
97,deux cent plus onze,normal
98,euro un toi pour,scrambled
99,fume ne trop pas,scrambled
100,bois vite tu très,scrambled
101,tues gens des tu,scrambled
102,gare auto son il,scrambled
103,le mari est veuf,normal
104,est il hier venu,scrambled
105,irez vous bas en,scrambled
106,le son est aigu,normal
107,on fait du judo,normal
108,joue moi il avec,scrambled
109,juge amie je une,scrambled
110,leur labo est laid,normal
111,ton plan est dur,normal
112,lama vif le est,scrambled
113,mare vide la est,scrambled
114,me déjà tu mens,scrambled
115,tu mets un pull,normal
116,miel ton fade est,scrambled
117,le nain est gai,normal
118,le mien est gros,normal
119,tu ne dors pas,normal
120,mise très gros on,scrambled
121,il est mort vite,normal
122,il mord un œuf,normal
123,ce taxi est noir,normal
124,la cave est vide,normal
125,elle ira sans toi,normal
126,choc est dur le,scrambled
127,elle nage trop vite,normal
128,il nota un truc,normal
129,ce noue elle bout,scrambled
130,cet obus va vite,normal
131,tous ils sont nus,scrambled
132,oses dire le tu,scrambled
133,ours beau cet est,scrambled
134,la page est vide,normal
135,la paix est rare,normal
136,il rote très fort,normal
137,elle pue un peu,normal
138,tu pars vers lui,normal
139,as tu main une,scrambled
140,ce pays est plat,normal
141,ton pied est doux,normal
142,il fume une pipe,normal
143,on fait un tipi,normal
144,pire loin est le,scrambled
145,plie il poil un,scrambled
146,pont brun fut ce,scrambled
147,porc le rôti sera,scrambled
148,pose pour elle moi,scrambled
149,as poux des tu,scrambled
150,pote est ton viré,scrambled
151,vain prie en il,scrambled
152,je suis tout gris,normal
153,fer le rail en,scrambled
154,vous êtes en rang,normal
155,rhum du bois tu,scrambled
156,veut lait du elle,scrambled
157,il aura une ride,normal
158,rire nul ton est,scrambled
159,fane rose la vite,scrambled
160,sacs ces sont gris,scrambled
161,est sauf sage le,scrambled
162,on boit un soda,normal
163,ton pull en soie,normal
164,soja le est frit,scrambled
165,un gros ogre crie,normal
166,tu sues très fort,normal
167,je suis un âne,normal
168,gros le est sumo,scrambled
169,thon le gras est,scrambled
170,tape taon il un,scrambled
171,il sera trop tard,normal
172,test ce long est,scrambled
173,le tofu est bon,normal
174,on aime le pâté,normal
175,un tour de vélo,normal
176,ce tube fut vidé,normal
177,part au il trot,scrambled
178,tuer de afin les,scrambled
179,vase usez le vous,scrambled
180,ce veau est joli,normal
181,le vent est fort,normal
182,on vend des yeux,normal
183,la zone est vide,normal
184,aire jeu de une,scrambled
185,un visa pour toi,normal
186,tes vins sont bons,normal
187,sac je mon vide,scrambled
188,une urne de plus,normal
189,unir pour gens les,scrambled
190,ce type de tuba,normal
191,le tsar est turc,normal
192,leur trio ira loin,normal
193,as le tu trac,scrambled
194,avec ce bel arc,normal
195,ara ton bien va,scrambled
196,il taxe une rue,normal
197,tant va la vie,normal
198,as des tu sous,scrambled
199,il sort un truc,normal
