item_nr,Normal condition,Scrambled condition
1,je veux du pain,pain du je veux
2,il te dit cela,te il cela dit
3,elle doit te voir,te doit elle voir
4,un peu de vin,peu un de vin
5,le toît est bleu,bleu toît est le
6,une clef en fer,fer une en clef
7,ton abri est beau,est beau abri ton
8,tout abus sera puni,puni tout sera abus
9,quoi que ce soit,ce quoi soit que
10,il vend du miel,du il vend miel
11,le loft est sale,loft le est sale
12,la rame en bois,en rame bois la
13,il dort chez nous,chez nous dort il
14,je skie tout seul,skie je seul tout
15,elle boit du jus,boit du elle jus
16,son joli chat gris,joli son gris chat
17,la rage en toi,rage en la toi
18,sa jupe en soie,jupe sa en soie
19,il perd du sang,perd du il sang
20,un jeu pour toi,jeu un toi pour
21,sauf si je veux,si veux je sauf
22,il scie du bois,scie il bois du
23,tu sens très bon,sens tu bon très
24,ce pull est bleu,est pull ce bleu
25,elle sort du tram,sort tram elle du
26,je vis ma vie,ma je vis vie
27,en face de toi,face de toi en
28,une voix en or,voix or en une
29,un bel ange vole,bel un vole ange
30,il vise le mur,vise le il mur
31,une arme en fer,en fer une arme
32,la baie de goji,de la baie goji
33,vous avez bien joué,avez bien vous joué
34,une page de plus,de une page plus
35,tu fais une bise,fais une tu bise
36,il part au bloc,part il au bloc
37,un beau bébé brun,beau un brun bébé
38,il sert son amie,sert amie il son
39,ta mère te vois,mère ta te vois
40,je bois un soda,bois soda un je
41,il est tout neuf,est il neuf tout
42,tu es bien sage,es sage tu bien
43,la dame est âgée,dame âgée est la
44,je note la date,note je date la
45,il fait beau ici,fait ici beau il
46,il perd une dent,perd il dent une
47,elle fait sa diva,fait diva sa elle
48,ce fil est fin,fil fin est ce
49,un été avec toi,été avec un toi
50,le film est long,long est le film
51,ta robe est rose,est rose robe ta
52,ton drap est plié,drap ton plié est
53,ton père est là,père ton là est
54,il faut être chic,faut chic être il
55,ce gant est laid,gant ce est laid
56,il va au gala,va il au gala
57,la gare est là,est là la gare
58,le gain du loto,loto le gain du
59,le kiwi est vert,kiwi le vert est
60,le rôti est cuit,est cuit le rôti
61,le lac est gelé,lac gelé le est
62,les gens sont fous,gens les sont fous
63,du bon foie gras,bon gras du foie
64,il rase les murs,rase il les murs
65,la grue te gêne,grue te la gêne
66,du saut de haie,saut du de haie
67,ce loup aura soif,loup ce soif aura
68,la peur du vide,du peur la vide
69,je pars en juin,pars en je juin
70,vous êtes très poli,très poli êtes vous
71,tu fais du judo,fais du tu judo
72,mon oral est prêt,est oral prêt mon
73,ce plat est bon,plat bon ce est
74,le menu est cher,cher est menu le
75,un kilo de maïs,kilo de un maïs
76,leur plan est bien,est leur plan bien
77,ce lien est fort,lien est fort ce
78,un lion en cage,en un cage lion
79,le bel ara vole,bel ara le vole
80,ton ami se vexe,ami vexe se ton
81,quel long vers noir,long quel noir vers
82,un coup de cric,coup un de cric
83,ce beau drap rose,beau drap ce rose
84,il dure ce film,dure il ce film
85,il erre tout seul,erre tout seul il
86,le paon est vert,est le paon vert
87,un faon sera tué,faon un tué sera
88,une pie vole haut,pie une vole haut
89,leur rat crie fort,rat leur crie fort
90,ce jeu est nul,jeu ce nul est
91,elle aime son père,aime son elle père
92,ce film muet fini,film ce fini muet
93,la fine tige gèle,fine la tige gèle
94,avec mes deux amis,mes deux avec amis
95,elle prit un flan,prit elle un flan
96,le prix est salé,prix le salé est
97,ton foie est gris,foie est ton gris
98,deux cent plus onze,cent deux onze plus
99,un euro pour toi,euro un toi pour
100,ne fume pas trop,fume ne trop pas
101,tu bois très vite,bois vite tu très
102,tu tues des gens,tues gens des tu
103,il gare son auto,gare auto son il
104,le mari est veuf,mari le est veuf
105,hier il est venu,est il hier venu
106,vous irez en bas,irez vous bas en
107,le son est aigu,son le aigu est
108,on fait du judo,fait judo du on
109,il joue avec moi,joue moi il avec
110,je juge une amie,juge amie je une
111,leur labo est laid,labo laid est leur
112,ton plan est dur,plan ton dur est
113,le lama est vif,lama vif le est
114,la mare est vide,mare vide la est
115,tu me mens déjà,me déjà tu mens
116,tu mets un pull,mets un tu pull
117,ton miel est fade,miel ton fade est
118,le nain est gai,nain gai le est
119,le mien est gros,mien le gros est
120,tu ne dors pas,ne tu pas dors
121,on mise très gros,mise très gros on
122,il est mort vite,mort est il vite
123,il mord un œuf,mord œuf un il
124,ce taxi est noir,noir taxi ce est
125,la cave est vide,cave vide est la
126,elle ira sans toi,ira elle sans toi
127,le choc est dur,choc est dur le
128,elle nage trop vite,nage vite trop elle
129,il nota un truc,nota truc il un
130,elle noue ce bout,ce noue elle bout
131,cet obus va vite,obus vite va cet
132,ils sont tous nus,tous ils sont nus
133,tu oses le dire,oses dire le tu
134,cet ours est beau,ours beau cet est
135,la page est vide,page la vide est
136,la paix est rare,paix la rare est
137,il rote très fort,rote il fort très
138,elle pue un peu,pue elle un peu
139,tu pars vers lui,lui tu pars vers
140,tu as une main,as tu main une
141,ce pays est plat,pays ce est plat
142,ton pied est doux,pied ton doux est
143,il fume une pipe,fume pipe il une
144,on fait un tipi,fait on un tipi
145,le pire est loin,pire loin est le
146,il plie un poil,plie il poil un
147,ce pont fut brun,pont brun fut ce
148,le porc sera rôti,porc le rôti sera
149,elle pose pour moi,pose pour elle moi
150,tu as des poux,as poux des tu
151,ton pote est viré,pote est ton viré
152,il prie en vain,vain prie en il
153,je suis tout gris,tout suis je gris
154,le rail en fer,fer le rail en
155,vous êtes en rang,rang êtes en vous
156,tu bois du rhum,rhum du bois tu
157,elle veut du lait,veut lait du elle
158,il aura une ride,aura une il ride
159,ton rire est nul,rire nul ton est
160,la rose fane vite,fane rose la vite
161,ces sacs sont gris,sacs ces sont gris
162,le sage est sauf,est sauf sage le
163,on boit un soda,boit un on soda
164,ton pull en soie,pull soie en ton
165,le soja est frit,soja le est frit
166,un gros ogre crie,ogre crie gros un
167,tu sues très fort,sues fort très tu
168,je suis un âne,âne suis un je
169,le sumo est gros,gros le est sumo
170,le thon est gras,thon le gras est
171,il tape un taon,tape taon il un
172,il sera trop tard,trop tard sera il
173,ce test est long,test ce long est
174,le tofu est bon,tofu est bon le
175,on aime le pâté,aime le on pâté
176,un tour de vélo,vélo de un tour
177,ce tube fut vidé,tube fut ce vidé
178,il part au trot,part au il trot
179,afin de les tuer,tuer de afin les
180,vous usez le vase,vase usez le vous
181,ce veau est joli,veau joli ce est
182,le vent est fort,vent est le fort
183,on vend des yeux,vend des on yeux
184,la zone est vide,zone la est vide
185,une aire de jeu,aire jeu de une
186,un visa pour toi,visa pour un toi
187,tes vins sont bons,vins bons sont tes
188,je vide mon sac,sac je mon vide
189,une urne de plus,urne de une plus
190,pour unir les gens,unir pour gens les
191,ce type de tuba,de ce tuba type
192,le tsar est turc,tsar est le turc
193,leur trio ira loin,trio leur loin ira
194,tu as le trac,as le tu trac
195,avec ce bel arc,ce bel avec arc
196,ton ara va bien,ara ton bien va
197,il taxe une rue,taxe il rue une
198,tant va la vie,va vie la tant
199,tu as des sous,as des tu sous
200,il sort un truc,sort un il truc
